Title,Published_date,Views,Likes,Comments
Azam Khan All Sixes in HBL PSL 8 #HBLPSL8 #SabSitarayHumaray,2023-08-11T13:00:25Z,8470,344,9
Fakhar Zaman ALL SIXES IN HBL PSL 8 | MI2L,2023-08-03T13:00:29Z,13045,500,30
All Shaheen Afridi Wickets Compilation : HBL PSL 2023 | MI2L,2023-07-28T14:00:47Z,21417,739,51
Top Clean Bowled's HBL PSL 8 #SabSitarayHumaray | MI2L,2023-06-23T07:00:23Z,50331,1203,58
Best Catches HBL PSL 8 #SabSitarayHumaray | MI2L,2023-06-10T11:00:13Z,108385,1997,90
All Sixes Galore | HBL PSL 2023 | #SabSitarayHumaray | MI2L,2023-05-08T07:00:07Z,67753,1700,82
What they said🗣️ press conference moments from #HBLPSL8#SabSitarayHumaray | HBL PSL 8 | MI2A,2023-04-24T09:28:30Z,16339,546,30
Explore the wonders of old Lahore | HBL PSL 2023 | MI2A,2023-03-26T10:08:25Z,40374,1522,57
The Final | HBL PSL Films | Lahore Qalandars vs Multan Sultans | HBL PSL 8 | MI2A,2023-03-23T15:16:48Z,197538,9319,386
Watch the HBL PSL 8 Champs React To An Unforgettable Title Win | HBL PSL 8 | MI2A,2023-03-19T13:25:39Z,75755,2576,114
Let's Recap Multan Sultans Fall of Wickets And Boundaries | Match 34 Final | HBL PSL 8 | MI2T,2023-03-19T11:00:40Z,30904,411,10
Let's Recap Lahore Qalandars Fall of Wickets And Boundaries | Match 34 Final | HBL PSL 8 | MI2T,2023-03-19T09:00:26Z,12857,311,12
Fantastic Bowling By Usama Mir | Multan vs Lahore | Match 34 Final | HBL PSL 8 | MI2T,2023-03-19T07:00:03Z,7101,117,6
Spectacular Batting By Abdullah Shafique | Multan vs Lahore | Match 34 Final | HBL PSL 8 | MI2T,2023-03-19T05:00:00Z,15555,306,11
Full Highlights | Multan Sultans vs Lahore Qalandars | Match 34 Final | HBL PSL 8 | MI2T,2023-03-18T21:24:34Z,3514490,55810,1780
Multan Sultans vs Lahore Qalandars | Pitch Side End of Day Studio Show | Match 34 Final | MI2T,2023-03-18T20:48:15Z,29739,680,32
Ending Ceremony | Multan Sultans vs Lahore Qalandars | Match 34 Final | HBL PSL 8 | MI2T,2023-03-18T20:44:29Z,1136351,25563,851
Short Highlights | Multan Sultans vs Lahore Qalandars | Match 34 Final | HBL PSL 8 | MI2,2023-03-18T20:29:22Z,2120773,32981,1255
🏆 W I N N E R S 🏆 Lahore Qalandars - owners of the SuperNova Trophy 🤩,2023-03-18T20:22:13Z,56884,1913,74
Chairman PCB Najam Sethi Speech | Multan vs Lahore | Match 34 Final | HBL PSL 8 | MI2T,2023-03-18T20:10:26Z,54111,1890,68
Tournament Closer | Multan Sultans vs Lahore Qalandars | Match 34 Final | HBL PSL 8 | MI2T,2023-03-18T20:09:16Z,66142,1798,54
Shaheen Shah Afridi Press Conference | HBL PSL 8,2023-03-18T19:55:17Z,124701,4279,89
Classy Bowling By Shaheen Afridi | Multan vs Lahore | Match 34 Final | HBL PSL 8 | MI2T,2023-03-18T19:45:02Z,43125,714,32
Mohammad Rizwan Press Conference | HBL PSL 8,2023-03-18T19:44:11Z,156847,4773,242
2nd Innings Highlights | Multan Sultans vs Lahore Qalandars | Match 34 Final | HBL PSL 8 | MI2T,2023-03-18T19:21:37Z,194139,2637,84
Thrilling Last Over | Multan Sultans vs Lahore Qalandars | Match 34 Final | HBL PSL 8 | MI2T,2023-03-18T19:15:01Z,330697,4359,173
Abdullah Shafique Interview | Multan Sultans vs Lahore Qalandars | Match 34 Final | HBL PSL 8 | MI2T,2023-03-18T19:09:27Z,13796,548,30
Zaman Khan Interview | Multan Sultans vs Lahore Qalandars | Match 34 Final | HBL PSL 8 | MI2T,2023-03-18T19:08:44Z,38216,1339,36
Sam Billings Interview | Multan Sultans vs Lahore Qalandars | Match 34 Final | HBL PSL 8 | MI2T,2023-03-18T19:07:36Z,16365,657,17
Sikandar Raza Interview | Multan Sultans vs Lahore Qalandars | Match 34 Final | HBL PSL 8 | MI2T,2023-03-18T19:06:20Z,13734,557,14
Shaheen Shah Afridi Interview | Multan vs Lahore | Match 34 Final | HBL PSL 8 | MI2T,2023-03-18T18:59:07Z,50851,1622,40
David Wiese Interview | Multan Sultans vs Lahore Qalandars | Match 34 Final | HBL PSL 8 | MI2T,2023-03-18T18:57:13Z,14429,531,21
EAGLEᵀᴹ 🦅You can never write him off ✍️ #HBLPSL8 | #SabSitarayHumaray | #MSvLQ,2023-03-18T18:50:33Z,501385,26310,127
Wiese is everywhere tonight! 🦸‍♂️Skipper strikes! ©️#HBLPSL8 | #SabSitarayHumaray | #MSvLQ,2023-03-18T18:50:32Z,198032,10753,21
"Safe hands 👏In Fakhar, Lahore Qalandars trust 🙌#HBLPSL8 | #SabSitarayHumaray | #MSvLQ",2023-03-18T18:50:30Z,166400,9958,16
Rashid Khan - Genius at work! 🤫#HBLPSL8 | #SabSitarayHumaray | #MSvLQ,2023-03-18T18:50:28Z,296520,17147,70
Ridiculous Rilee is batting on another level! 💥#HBLPSL8 | #SabSitarayHumaray | #MSvLQ,2023-03-18T18:50:25Z,63063,3026,7
Fireworks as expected from Rilee Rossouw 🎇Powerplay maximised ✅#HBLPSL8 | #MSvLQ,2023-03-18T18:50:23Z,53425,2772,12
Smooth Rilee 🤌Caressing delightful 4️⃣s ✨#HBLPSL8 | #SabSitarayHumaray | #MSvLQ,2023-03-18T18:50:20Z,86725,4980,12
WOW WIESE 👏Middle-stump ripped 🎯#HBLPSL8 | #SabSitarayHumaray | #MSvLQ,2023-03-18T18:50:18Z,73173,4237,8
Boundaries crunched! 🔥Rapid start for Multan Sultans ⚡#HBLPSL8 | #SabSitarayHumaray | #MSvLQ,2023-03-18T18:50:16Z,85310,4454,18
He's 🔙 as the leading run-getter of #HBLPSL8 🥇Owner of the Hanif Mohammad cap powered by Inverex,2023-03-18T18:50:12Z,78996,4940,10
QALANDARS BANAY CHAMPIONS 👑Celebrations amidst fireworks 🥳,2023-03-18T18:49:18Z,22797,810,56
Brilliant Batting By Rilee Rossouw | Multan vs Lahore | Match 34 Final | HBL PSL 8 | MI2T,2023-03-18T18:05:50Z,35360,392,18
2nd Innings Powerplay | Multan Sultans vs Lahore Qalandars | Match 34 Final | HBL PSL 8 | MI2T,2023-03-18T17:16:10Z,121892,1052,23
The paramotor act: bringing the Supernova Trophy in an epic fashion 🏆🪂 | HBL PSL 8 | MI2T,2023-03-18T16:53:34Z,102815,4052,89
